Time.ms,cue_type,trial_type,value_cat,experiment,m_prop_looking
733,vocalization,disambiguation,Target,e1,0.5555555555555556
733,vocalization,disambiguation,Target,e2,0.5725806451612904
733,vocalization,familiar,Distractor,e1,0.4424778761061947
733,vocalization,familiar,Distractor,e2,0.34
733,vocalization,familiar,Target,e1,0.5575221238938053
733,vocalization,familiar,Target,e2,0.66
733,vocalization,retention,Distractor,e2,0.5443037974683544
733,vocalization,retention,Target,e2,0.45569620253164556
767,name,disambiguation,Distractor,e1,0.3563218390804598
767,name,disambiguation,Target,e1,0.6436781609195402
767,name,familiar,Distractor,e1,0.3208955223880597
767,name,familiar,Target,e1,0.6791044776119403
767,onomatopoeic,familiar,Distractor,e1,0.3983050847457627
767,onomatopoeic,familiar,Target,e1,0.6016949152542372
767,vocalization,disambiguation,Distractor,e1,0.4380952380952381
767,vocalization,disambiguation,Distractor,e2,0.42063492063492064
767,vocalization,disambiguation,Target,e1,0.5619047619047619
767,vocalization,disambiguation,Target,e2,0.5793650793650794
767,vocalization,familiar,Distractor,e1,0.42792792792792794
767,vocalization,familiar,Distractor,e2,0.3425196850393701
767,vocalization,familiar,Target,e1,0.5720720720720721
767,vocalization,familiar,Target,e2,0.65748031496063
767,vocalization,retention,Distractor,e2,0.5384615384615384
767,vocalization,retention,Target,e2,0.46153846153846156
800,name,disambiguation,Distractor,e1,0.3522727272727273
800,name,disambiguation,Target,e1,0.6477272727272727
800,name,familiar,Distractor,e1,0.3208955223880597
800,name,familiar,Target,e1,0.6791044776119403
800,onomatopoeic,familiar,Distractor,e1,0.38461538461538464
800,onomatopoeic,familiar,Target,e1,0.6153846153846154
800,vocalization,disambiguation,Distractor,e1,0.42718446601941745
800,vocalization,disambiguation,Distractor,e2,0.40458015267175573
800,vocalization,disambiguation,Target,e1,0.5728155339805825
800,vocalization,disambiguation,Target,e2,0.5954198473282443
800,vocalization,familiar,Distractor,e1,0.40707964601769914
800,vocalization,familiar,Distractor,e2,0.3359073359073359
800,vocalization,familiar,Target,e1,0.5929203539823009
800,vocalization,familiar,Target,e2,0.6640926640926641
800,vocalization,retention,Distractor,e2,0.5384615384615384
800,vocalization,retention,Target,e2,0.46153846153846156
