Sub.Num,Time.ms,cue_type,trial_type,value_cat,experiment,m_prop_looking
23444,867,vocalization,retention,Distractor,experiment_2_retention,0.5
23444,867,vocalization,retention,Target,experiment_2_retention,0.5
23444,900,vocalization,disambiguation,Distractor,experiment_2_retention,0.14285714285714285
23444,900,vocalization,disambiguation,Target,experiment_2_retention,0.8571428571428571
23444,900,vocalization,familiar,Distractor,experiment_2_retention,0.38461538461538464
23444,900,vocalization,familiar,Target,experiment_2_retention,0.6153846153846154
23444,900,vocalization,retention,Distractor,experiment_2_retention,0.5
23444,900,vocalization,retention,Target,experiment_2_retention,0.5
23444,933,vocalization,disambiguation,Distractor,experiment_2_retention,0
23444,933,vocalization,disambiguation,Target,experiment_2_retention,1
23444,933,vocalization,familiar,Distractor,experiment_2_retention,0.38461538461538464
23444,933,vocalization,familiar,Target,experiment_2_retention,0.6153846153846154
23444,933,vocalization,retention,Distractor,experiment_2_retention,0.3333333333333333
23444,933,vocalization,retention,Target,experiment_2_retention,0.6666666666666666
23444,967,vocalization,disambiguation,Distractor,experiment_2_retention,0
23444,967,vocalization,disambiguation,Target,experiment_2_retention,1
23444,967,vocalization,familiar,Distractor,experiment_2_retention,0.38461538461538464
23444,967,vocalization,familiar,Target,experiment_2_retention,0.6153846153846154
23444,967,vocalization,retention,Distractor,experiment_2_retention,0.3333333333333333
23444,967,vocalization,retention,Target,experiment_2_retention,0.6666666666666666
23444,1e3,vocalization,disambiguation,Distractor,experiment_2_retention,0
23444,1e3,vocalization,disambiguation,Target,experiment_2_retention,1
23444,1e3,vocalization,familiar,Distractor,experiment_2_retention,0.38461538461538464
23444,1e3,vocalization,familiar,Target,experiment_2_retention,0.6153846153846154
23444,1e3,vocalization,retention,Distractor,experiment_2_retention,0.3333333333333333
23444,1e3,vocalization,retention,Target,experiment_2_retention,0.6666666666666666
23444,1033,vocalization,disambiguation,Distractor,experiment_2_retention,0
23444,1033,vocalization,disambiguation,Target,experiment_2_retention,1
23444,1033,vocalization,familiar,Distractor,experiment_2_retention,0.38461538461538464
23444,1033,vocalization,familiar,Target,experiment_2_retention,0.6153846153846154
23444,1033,vocalization,retention,Distractor,experiment_2_retention,0.3333333333333333
23444,1033,vocalization,retention,Target,experiment_2_retention,0.6666666666666666
